GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,ApacheMailTextEmailMessageWithAttachments,7,79,4,6,3,27,4,8,0,7
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,AWSMailSender,39,339,13,31,13,95,13,24,0,15
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,EmailMessage,4,87,1,7,1,28,1,13,0,10
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,MailConfigurationFactory,0,38,0,6,0,11,0,6,0,3
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,JavaMailSender,40,248,13,25,11,56,13,18,0,12
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,TextEmailMessageWithAttachments,0,142,0,3,0,36,0,22,0,20
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,EmailException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,AWSTextEmailMessage,8,70,6,6,2,20,6,4,0,4
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,ApacheMailTextEmailMessage,6,19,0,0,2,9,0,4,0,4
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,InlineAttachment,0,30,0,0,0,12,0,5,0,5
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,MailConfigurationImpl,0,230,9,11,0,65,9,16,0,15
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,JavaMailHtmlEmailMessage,21,288,16,28,8,81,15,14,0,7
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,JavaMailTextEmailMessageWithAttachments,13,108,5,7,5,36,5,9,0,8
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,BaseAttachment,0,32,0,0,0,14,0,6,0,6
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,TextEmailMessage,0,74,0,3,0,21,0,13,0,11
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,NotSupportedException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,EmailProvider,0,70,1,7,0,16,1,7,0,4
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,EmailSender,0,35,0,3,0,12,0,6,0,4
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,BuildInfo,12,113,2,4,4,31,2,11,0,10
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,AWSEmailSenderCredentials,0,47,0,8,0,13,0,12,0,8
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,EmailAttachment,0,32,0,0,0,12,0,5,0,5
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,MailNotSentException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,ApacheMailHtmlEmailMessage,12,198,11,25,6,57,11,13,0,6
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,AWSHtmlEmailMessage,0,16,0,0,0,8,0,5,0,5
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,HtmlEmailMessage,0,134,0,3,0,39,0,19,0,17
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,AWSTextEmailMessageWithAttachments,0,31,0,0,0,14,0,8,0,8
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,ApacheMailSender,39,258,14,30,11,66,14,24,0,16
com.irurueta:irurueta-server-commons-email,com.irurueta.server.commons.email,JavaMailTextEmailMessage,6,19,0,0,2,9,0,4,0,4
